date,time,name,gender,city,userLevel,score,content
2019-11-29,2019-11-29 20:42:33,NlX772230859,0,福州,3,5.0,超级好看的！
2019-11-29,2019-11-29 20:41:21,Dvu533630405,0,南京,1,4.5,荡涤人心，五味杂陈
2019-11-29,2019-11-29 20:40:29,南斋生,0,肇庆,1,5.0,重新在电影院观看这一部经典作品，更深刻地感受到了男主看待事物的透彻。
2019-11-29,2019-11-29 20:38:34,NUI816769439,0,深圳,2,5.0,好看，想二刷
2019-11-29,2019-11-29 20:37:05,目击,1,广州,3,4.5,1.欧美国家的音乐氛围让人羡慕；2.主人公到底要不要上岸，现实寓意好强，就好像让现在的人直面实要成为别人期待的人，还是守住自己的生活方式；3.结尾处，两个人在船上对话，没有哭嚷，没有为你好式的强迫，自由之下才有人格，因为钢琴师是choose to be 永远的海上钢琴师的。总体感官上，是非常动人的电影，尤其是演员出色，荒诞的剧情被强烈的感情包裹，反而主人公一切思维行为都令人信服了。
2019-11-29,2019-11-29 20:36:26,nMA165640830,0,曲阜,2,5.0,啥叫电影艺术?这他娘就是艺术
2019-11-29,2019-11-29 20:28:43,xym.com,2,深圳,2,4.0,1900解释当时站在船舷为什么不下船的心理活动时，确实受到了触动。经历其中不觉有他，1900作为十足的旁观者，讲他的感受，人们是如何在这没有尽头的世界生活的？能安静平和地向隅而居其实是一种幸福。
2019-11-29,2019-11-29 20:21:43,MINI工场-陈子刚,1,宁波,4,5.0,终于有机会，在电影院重温这个心目中的经典。
2019-11-29,2019-11-29 20:18:56,没有梦想不言青春,1,盂县,4,5.0,传奇的一生致敬  1900
2019-11-29,2019-11-29 20:14:06,鹤,2,惠州,2,4.5,我依旧热爱。
2019-11-29,2019-11-29 20:13:39,TiAmo,0,武汉,1,5.0,好看好看好看
2019-11-29,2019-11-29 20:11:34,Ghp457899461,0,武汉,5,4.5,1900很像Will Hunting  ， 只不过他没有那么幸运，身边没有shawn引导他走出自我。“我每天到你家接你，我们出去喝酒笑闹，那很棒。但我一天中最棒的时刻只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但我很清楚。 ”这段Will Hunting里每次想起都会让我泪目的话我想也是Marx想对1900讲的：“我每天跟你在船上一起演奏喝酒，那很棒，但是我一生中最棒的时刻只有10秒，从船舱到演奏厅，每次我打开演奏厅的大门，都希望你没有坐在钢琴前，同事们告诉我你已经下船了，不说再见，什么都没有，你就走了”
2019-11-29,2019-11-29 20:09:48,燕子121314,0,西安,3,5.0,很感人，看落泪了，看到破船里坐着的孤独的1900，他似乎立刻要被世界遗弃了。没人知道他的生日，他来自哪里，他的父母在何方。飘荡的人生，只有不离不弃的钢琴，钢琴是他最好的朋友，他的所有情感都付诸于一架钢琴，他的喜怒哀乐，最后钢琴被搬走了，他随着这艘生他养他的船消失了.....
2019-11-29,2019-11-29 20:09:48,miss王小瘦,2,中牟,2,4.5,怀旧。。。。
2019-11-29,2019-11-29 20:08:02,茶峒,2,成都,2,5.0,好看极了。。其实我看不懂
2019-11-29,2019-11-29 18:59:32,浮云,2,南京,4,5,从前面一段，就开始对这个故事很感兴趣，感觉很好看。他是另一种生活方式，如同现在的我，已经在这个工作方式工作了八年了，现在不得不脱离，可是已经八年了。抑郁症重度。一度痛苦的想要自杀。迷茫的时候看到这个电影。真的是给我启发。可是依然纠结自己的路该怎么走。。重新开始，还是一直坚持混吃等死，。。。等我想好再继续写吧。
2019-11-29,2019-11-29 18:56:34,佩佩,2,南京,3,5,看完海上钢琴师，只能用感人至深来形容影片和这首曲，能触发人的泪点，不错的影片。出来有一对30岁左右的夫妇说什么破电影还9点几分，真的是侮辱了这部影片。
2019-11-29,2019-11-29 18:54:11,哈喽,0,郑州,1,5,琴键是有限的，它只有八十八个，琴键有限，音乐无限，而城市有千千万万的街道，人们有千千万万种生活，而死法我只能选择一种……连未来都看不到，你不会感到焦虑吗？……那天我看见千千万万个琴键，这是上帝的琴，不是我所能弹奏的
2019-11-29,2019-11-29 18:48:35,咪宝贝咪咪,0,晋城,2,5,好的好的好的
2019-11-29,2019-11-29 18:48:31,黑择明,1,中山,1,5,重温经典，精彩如旧。
2019-11-29,2019-11-29 18:38:55,水玲珑心,1,眉山,2,4.5,不错  挺感动的
2019-11-29,2019-11-29 18:36:50,85ying,2,天津,2,5,完美～尽管已经看过无数遍了
2019-11-29,2019-11-29 18:36:01,epC967530908,0,昆明,2,5,最爱的剧情文艺片没有之一，看多少遍都不会厌倦，每次看都有不同的感觉，现在能在影院观赏怎能不泪流满面，1900先生活出了真正的纯粹，和他的音乐与船一起永远的沉入大海
2019-11-29,2019-11-29 18:27:59,upY161461114,0,郑州,2,5,经典👍👍
2019-11-29,2019-11-29 18:25:06,THP518395261,0,上海,3,5,虽然是临时起意，但真的挺好看的
2019-11-29,2019-11-29 18:24:59,复读机,2,南平,3,4.5,棒极了嘿嘿，很喜欢钢琴舞蹈，肆意的享受音乐带来的快乐，真棒啊。还有烟与琴那段，我是骄傲的，我为琴而生。还有那个女孩，很美，那首钢琴曲，也很美。这部电影很棒，但我也许还有些不懂吧，有时会不理解电影中1900的选择，所以我二刷看懂了再来修改评分嘿嘿
2019-11-29,2019-11-29 18:21:17,Forever,0,广州,1,5,认真看，感受主人公的情感，会有不一样的感受
2019-11-29,2019-11-29 18:19:49,conghonga,2,北京,5,4,经典老片，值得一看，钢琴弹的很棒，剧情感人，一位纯粹的艺术家的一生，只在船上，令人惋惜而难忘。
2019-11-29,2019-11-29 18:14:42,王影,2,长春,2,5,看完之后久久无法平静，非常好
2019-11-29,2019-11-29 18:10:46,无人之境sss,0,泰州,2,5,完美。。。。
2019-11-29,2019-11-29 17:07:15,Skyandstar,1,南京,5,4.5,Reality is a cage.
2019-11-29,2019-11-29 17:06:56,TiAmo,1,阳江,3,4.5,很喜欢，忧郁的眼神。
2019-11-29,2019-11-29 17:05:52,lyx,1,广州,5,4,只觉得很可惜
2019-11-29,2019-11-29 17:05:24,小超灬,0,北京,3,5,特别的好看，推荐
2019-11-29,2019-11-29 17:02:42,pPi750847869,0,巢湖,3,5,虽然我没啥音乐细胞，听不大懂片子里的音乐，但是我从头看到了尾，没中途没跑出去就说明电影还不错。
2019-11-29,2019-11-29 17:02:14,6946.,0,齐齐哈尔,2,5,好看嘿嘿嘿 特别是钢琴
2019-11-29,2019-11-29 17:00:10,瞎碰猫二子,2,天津,2,4,画面有点糊 音乐故事都是极致 感动
2019-11-29,2019-11-29 16:56:36,但愿老死花酒间,0,南京,2,5,好看，剧情满分，这是一段我终身难忘的美好回忆😊 
2019-11-29,2019-11-29 16:55:34,alice9098,2,长沙,2,4,还不错，挺好
2019-11-29,2019-11-29 16:53:43,天0517,1,南京,3,5,令人深思的电影
2019-11-29,2019-11-29 16:53:43,圆圆931010,0,上海,2,0.5,电影院的服务员态度太垃圾了
2019-11-29,2019-11-29 16:47:28,mhd775865144,0,贵阳,3,5,可能1900不是一个真人，是一个时代的化身。是一种意志的延续，这种电影，看一部少一部
2019-11-29,2019-11-29 16:47:15,Xjhyl620609,0,北京,4,4.5,好看，己看两遍。人物刻画逼真，画面时代感很强。
